,author,title,description,content
0,Ryan Young,"2026 U.S. Open Saturday live updates, leaderboard: Wyndham Clark in full control entering third round at Shinnecock - Yahoo Sports",Wyndham Clark is taking a four-shot lead into the weekend at Shinnecock Hills.,"It's Moving Day at the U.S. Open, and Wyndham Clark is in full control of the tournament.
Clark got to 7-under through 36 holes at Shinnecock Hills outside of New York, which set a new course record… [+7832 chars]"
1,See full bio,"Apple’s Early Prime Day Sale Is Live. We Found the Best Deals on MacBooks, iPads and AirPods - CNET","Act now and enjoy Prime Day savings on Apple favorites like Beats headphones, AirPods and iPads.","Apple gear is among some of the best across a whole range of categories, and it regularly finds a home on our lists of the best products around right now. There are plenty of reasons for that, includ… [+5211 chars]"
2,TMZ Staff,Blake Lively Steps Out Alone in New York Amid Taylor Swift's Bachelorette Buzz - TMZ,Blake Lively's staying solo this weekend ... hanging out alone while Taylor Swift's surrounded by friends at her Rhode Island home.,"Blake Lively's staying solo this weekend ... hanging out alone while Taylor Swift's surrounded by friends at her Rhode Island home.
Photogs spotted the ""Gossip Girl"" star walking around Pound Ridge,… [+1531 chars]"
3,"Nic Robertson, Sophia Saifi, Catherine Nicholls, Mitchell McCluskey, Sana Noor Haq, Eyad Kourdi, Charbel Mallo, Tamara Qiblawi, Isaac Tellechea, Kaanita Iyer, Jennifer Hansler, Julia Benbrook, Oliver Sherwood, Alayna Treene, Fadel Allassan, Adam Pourahmadi, Oren Liebermann, Charlotte Reck, Kara Fox, Kylie Atwood, Nadeen Ebrahim, Tim Lister, Mustafa Qadri, Sophie Tanno, Caitlin Danaher, Simone McCarthy, Helen Regan, Deva Lee, Elise Hammond",Live updates: Iran says it’s closing Strait of Hormuz over Lebanon fighting amid push to resume US talks - CNN,US Vice President JD Vance is expected to attend talks with Iran in Switzerland. Tehran says it’s closing the Strait of Hormuz until Israel halts strikes in Lebanon. Follow live updates.,"A Lebanese conservationist who spent her life protecting endangered turtles along the countrys southern coast has died after she was injured by an Israeli attack earlier this month, according to loca… [+1773 chars]"
4,CHRISTOPHER RUGABER AP economic writer,"Warsh's gamble: A quieter Federal Reserve could mean volatile markets, higher rates - ABC News - Breaking News, Latest News and Videos","The Federal Reserve has for decades moved steadily from a remote, opaque government agency that shared little about what it did or why to a more transparent institution willing to explain how it makes decisions and what it thinks about the economy","WASHINGTON -- The Federal Reserve has for decades moved steadily from a remote, opaque government agency that shared little about what it did or why to a more transparent institution willing to expla… [+6302 chars]"
5,ANGELA CHARLTON Associated Press,"A founder of Assassin's Creed maker Ubisoft killed in a plane crash in western France - ABC News - Breaking News, Latest News and Videos","A founder of Ubisoft, the global gaming company behind Assassin’s Creed, has been killed in a plane crash in western France","PARIS -- A founder of global gaming company Ubisoft, maker of Assassins Creed, was killed in a plane crash in western France, authorities said Saturday.
The twin-motor Cessna 421 carrying Claude Gui… [+751 chars]"
6,,"At least one tourist dead after massive fire nearly destroys Caribbean resort, 1,690 evacuated - Fox News","An Italian tourist died and nine others were injured after a massive fire swept through a Dominican Republic resort in Bayahibe, authorities say.","At least one Italian tourist is dead with several more injured after a massive fire in the Dominican Republic resort town Bayahibe on Friday.
The deceased woman, 46-year-old Italian national Frances… [+1735 chars]"
7,Jack Dunn,Box Office: ‘Toy Story 5’ Soars to $71 Million on Opening Day - Variety,'Toy Story 5' easily topped the box office charts on Friday with $71 million.,"Playtime is over. Or, actually, maybe it has just begun? Either way, “Toy Story 5” topped the box office charts on Friday.
Disney and Pixar’s “Toy Story 5” easily claimed Friday’s box office crown w… [+2693 chars]"
8,Daniel Lewis,"Netherlands vs. Sweden odds, prediction, time: 2026 World Cup picks, best bets by expert on 18-8 roll - CBS Sports",SportsLine's Martin Green reveals his Sweden vs. Netherlands best bets for their FIFA World Cup 2026 match on Saturday,"The competitive Group F continues play on Saturday as Sweden and Netherlands get the 2026 World Cup action underway for the day. Netherlands are favored in the group, but Sweden posted a 5-1 victory … [+3183 chars]"
9,,Nine people in critical condition after train crash - BBC,"British Transport Police says the collision, which killed a train driver, is being investigated.","Brett Byatt from Bedford, another passenger on board, told BBC Radio 4's Today programme he was among three or four people in his carriage who were not injured, adding: ""Everyone else had either a se… [+111 chars]"
10,Lauren Forristal,Every new iOS 27 feature that’s worth knowing about - TechCrunch,"While it's not flashy like Apple’s new Siri AI and Apple Intelligence upgrades, there are still a number of additions to iOS 27 worth looking at.","While Apples new Siri AI and Apple Intelligence announcements dominated the WWDC spotlight earlier this month, the tech giant also packed iOS 27 with a number of upgrades across its everyday apps and… [+5118 chars]"
11,Hartley Charlton,Apple Unveiled These Five New Apps Last Week - MacRumors,"Apple last week unveiled five new apps, with four announced at WWDC 2026 alongside its upcoming fall software updates, one released in beta for...","Apple last week unveiled five new apps, with four announced at WWDC 2026 alongside its upcoming fall software updates, one released in beta for developers, and one released independently by its subsi… [+4016 chars]"
12,,Trump hits out at Italy's Meloni after pushback on G7 photo claim - BBC,"The US president earlier questioned Meloni's popularity after suggesting she ""begged"" for a photo at G7 summit","""As for my popularity, being your friend has certainly not helped it, nor does it depend on my relationship with you,"" said Meloni."
13,,Trump says Iran missiles 'aren't the problem' after White House made them central to war rationale - Fox News,"Trump says Iran having missiles may be OK if neighbors have them, a different tone than officials who cited missiles as a reason for Epic Fury.","For months, senior Trump administration officials argued that Iran's ballistic missile arsenal helped shield Tehran's nuclear ambitions and was a key reason the U.S. launched Operation Epic Fury atta… [+6127 chars]"
14,Jordain Carney,"Tom Cotton, the Senate’s foremost Iran hawk, is in a Trump-induced jam - Politico","A decade after blasting a remarkably similar Iran deal, the Intelligence chair is now treading carefully.",But the combination of his prior ferocity toward the Iranian regime and his current leadership responsibilities have put him into an especially tight spot as President Donald Trump and Vice President… [+5652 chars]
15,Sarah Davis,Trump administration says it’s considering ‘partial closure’ of Kennedy Center despite judge’s order - The Hill,"The Trump administration said in a court filing late Friday that it is still considering a “partial closure” at the Kennedy Center, despite a previous ruling requiring that the iconic performing arts center remains open.  Last month, U.S. District Judge Chris…","Skip to content
The Trump administration said in a court filing late Friday that it is still considering a “partial closure” at the Kennedy Center, despite a previous ruling requiring that the iconi… [+2716 chars]"
16,,Talarico says the divide is 'top vs. bottom' — then heads to one of America's richest donor enclaves - Fox News,Texas Senate nominee James Talarico reportedly attended tech fundraisers in the San Francisco Bay Area despite his anti-corporate campaign rhetoric.,"Texas Democratic Senate nominee James Talarico, who has built a reputation for his anti-corporate rhetoric and criticism of tech, reportedly spent mid-April traveling around the San Francisco Bay Are… [+4037 chars]"
17,KUSA.com,Three hikers die of suspected heat-related illness at Grand Canyon National Park - KUSA.com,,
